"date","price","avocados_sold","type","year","region"
2015-09-06,1.46,12941.48,"organic",2015,"DallasFtWorth"
2015-09-13,0.86,1212585.41,"conventional",2015,"DallasFtWorth"
2015-09-13,1.48,12704.71,"organic",2015,"DallasFtWorth"
2015-09-20,0.77,1155212.67,"conventional",2015,"DallasFtWorth"
2015-09-20,1.47,12513.98,"organic",2015,"DallasFtWorth"
2015-09-27,0.84,1063583.86,"conventional",2015,"DallasFtWorth"
2015-09-27,1.48,12224.81,"organic",2015,"DallasFtWorth"
2015-10-04,0.82,1104602.14,"conventional",2015,"DallasFtWorth"
2015-10-04,1.49,10751.69,"organic",2015,"DallasFtWorth"
2015-10-11,0.81,1100679.15,"conventional",2015,"DallasFtWorth"
2015-10-11,1.48,10647.39,"organic",2015,"DallasFtWorth"
2015-10-18,0.83,992983.76,"conventional",2015,"DallasFtWorth"
2015-10-18,1.39,11010.45,"organic",2015,"DallasFtWorth"
2015-10-25,0.86,1010394.81,"conventional",2015,"DallasFtWorth"
2015-10-25,1.48,13258.61,"organic",2015,"DallasFtWorth"
2015-11-01,0.78,1114177.66,"conventional",2015,"DallasFtWorth"
2015-11-01,1.41,12250.82,"organic",2015,"DallasFtWorth"
2015-11-08,0.8,977717.36,"conventional",2015,"DallasFtWorth"
2015-11-08,1.46,11147.93,"organic",2015,"DallasFtWorth"
2015-11-15,0.71,1040439.71,"conventional",2015,"DallasFtWorth"
2015-11-15,1.36,11640.14,"organic",2015,"DallasFtWorth"
2015-11-22,0.78,885067.49,"conventional",2015,"DallasFtWorth"
2015-11-22,1.46,10812.09,"organic",2015,"DallasFtWorth"
2015-11-29,0.8,839818.87,"conventional",2015,"DallasFtWorth"
2015-11-29,1.46,9412.9,"organic",2015,"DallasFtWorth"
2015-12-06,0.74,1054849.97,"conventional",2015,"DallasFtWorth"
2015-12-06,1.48,10458.62,"organic",2015,"DallasFtWorth"
2015-12-13,0.79,980891.18,"conventional",2015,"DallasFtWorth"
2015-12-13,1.43,12224.14,"organic",2015,"DallasFtWorth"
2015-12-20,0.82,928051.16,"conventional",2015,"DallasFtWorth"
2015-12-20,1.38,11128.3,"organic",2015,"DallasFtWorth"
2015-12-27,0.8,1020390.64,"conventional",2015,"DallasFtWorth"
2015-12-27,1.33,10860.07,"organic",2015,"DallasFtWorth"
2016-01-03,0.78,1191927.54,"conventional",2016,"DallasFtWorth"
2016-01-03,1.26,10777.27,"organic",2016,"DallasFtWorth"
2016-01-10,0.85,1145736.97,"conventional",2016,"DallasFtWorth"
2016-01-10,1.34,11624.41,"organic",2016,"DallasFtWorth"
2016-01-17,0.79,1164936.06,"conventional",2016,"DallasFtWorth"
2016-01-17,1.25,14648.09,"organic",2016,"DallasFtWorth"
2016-01-24,1.02,676032.04,"conventional",2016,"DallasFtWorth"
2016-01-24,1.35,14155.9,"organic",2016,"DallasFtWorth"
2016-01-31,0.8,1128639.48,"conventional",2016,"DallasFtWorth"
2016-01-31,1.36,15116.17,"organic",2016,"DallasFtWorth"
2016-02-07,0.71,1515264.27,"conventional",2016,"DallasFtWorth"
2016-02-07,1.27,14931.85,"organic",2016,"DallasFtWorth"
2016-02-14,0.65,1358553.29,"conventional",2016,"DallasFtWorth"
2016-02-14,1.27,15673.4,"organic",2016,"DallasFtWorth"
2016-02-21,0.83,1006181.04,"conventional",2016,"DallasFtWorth"
2016-02-21,1.18,17232.43,"organic",2016,"DallasFtWorth"
2016-02-28,0.74,1199630.68,"conventional",2016,"DallasFtWorth"
2016-02-28,1.19,17889.69,"organic",2016,"DallasFtWorth"
2016-03-06,0.76,1201768.74,"conventional",2016,"DallasFtWorth"
2016-03-06,1.15,19464.82,"organic",2016,"DallasFtWorth"
2016-03-13,0.78,1177309.05,"conventional",2016,"DallasFtWorth"
2016-03-13,1.2,18432.74,"organic",2016,"DallasFtWorth"
2016-03-20,0.74,1347884.14,"conventional",2016,"DallasFtWorth"
2016-03-20,1.16,16850.64,"organic",2016,"DallasFtWorth"
2016-03-27,0.76,1341740.28,"conventional",2016,"DallasFtWorth"
2016-03-27,1.25,17408.68,"organic",2016,"DallasFtWorth"
2016-04-03,0.7,1339210.2,"conventional",2016,"DallasFtWorth"
2016-04-03,1.18,18943.3,"organic",2016,"DallasFtWorth"
2016-04-10,0.69,1424317.64,"conventional",2016,"DallasFtWorth"
2016-04-10,1.16,20070.8,"organic",2016,"DallasFtWorth"
2016-04-17,0.69,1339725.73,"conventional",2016,"DallasFtWorth"
2016-04-17,1.11,25616.88,"organic",2016,"DallasFtWorth"
2016-04-24,0.65,1482923.45,"conventional",2016,"DallasFtWorth"
2016-04-24,1,23975.47,"organic",2016,"DallasFtWorth"
2016-05-01,0.71,1433697.02,"conventional",2016,"DallasFtWorth"
2016-05-01,1.09,21668.3,"organic",2016,"DallasFtWorth"
2016-05-08,0.72,1475782.06,"conventional",2016,"DallasFtWorth"
2016-05-08,1.04,26837.25,"organic",2016,"DallasFtWorth"
2016-05-15,0.71,1366439.71,"conventional",2016,"DallasFtWorth"
2016-05-15,1.06,26845.53,"organic",2016,"DallasFtWorth"
2016-05-22,0.7,1378888.74,"conventional",2016,"DallasFtWorth"
2016-05-22,1,24210.7,"organic",2016,"DallasFtWorth"
2016-05-29,0.77,1354696.91,"conventional",2016,"DallasFtWorth"
2016-05-29,1,27580.57,"organic",2016,"DallasFtWorth"
2016-06-05,0.82,1343656.34,"conventional",2016,"DallasFtWorth"
2016-06-05,1.05,26357.74,"organic",2016,"DallasFtWorth"
2016-06-12,0.84,1272166.49,"conventional",2016,"DallasFtWorth"
2016-06-12,1.08,31272.25,"organic",2016,"DallasFtWorth"
2016-06-19,0.87,1236820.38,"conventional",2016,"DallasFtWorth"
2016-06-19,1.05,28277.44,"organic",2016,"DallasFtWorth"
2016-06-26,0.85,1277488.6,"conventional",2016,"DallasFtWorth"
2016-06-26,1.04,30776.67,"organic",2016,"DallasFtWorth"
2016-07-03,0.89,1350870.14,"conventional",2016,"DallasFtWorth"
2016-07-03,0.99,32844.7,"organic",2016,"DallasFtWorth"
2016-07-10,0.91,1080238.02,"conventional",2016,"DallasFtWorth"
2016-07-10,1.04,17788.81,"organic",2016,"DallasFtWorth"
2016-07-17,0.96,1070350.11,"conventional",2016,"DallasFtWorth"
2016-07-17,1.05,27581.91,"organic",2016,"DallasFtWorth"
2016-07-24,0.94,1188812.12,"conventional",2016,"DallasFtWorth"
2016-07-24,0.99,35564.65,"organic",2016,"DallasFtWorth"
2016-07-31,0.88,1163785.11,"conventional",2016,"DallasFtWorth"
2016-07-31,1.03,38209.32,"organic",2016,"DallasFtWorth"
2016-08-07,0.83,1244080.92,"conventional",2016,"DallasFtWorth"
2016-08-07,1.12,32688.03,"organic",2016,"DallasFtWorth"
2016-08-14,0.88,1132112.24,"conventional",2016,"DallasFtWorth"
2016-08-14,0.86,90500.74,"organic",2016,"DallasFtWorth"
2016-08-21,0.77,1215161.52,"conventional",2016,"DallasFtWorth"
2016-08-21,0.86,74326.53,"organic",2016,"DallasFtWorth"
2016-08-28,0.74,1260685.59,"conventional",2016,"DallasFtWorth"
2016-08-28,1.02,34300.17,"organic",2016,"DallasFtWorth"
2016-09-04,0.74,1390891.44,"conventional",2016,"DallasFtWorth"
2016-09-04,1.05,30716.5,"organic",2016,"DallasFtWorth"
2016-09-11,0.79,1308970.15,"conventional",2016,"DallasFtWorth"
2016-09-11,1.16,26658.47,"organic",2016,"DallasFtWorth"
2016-09-18,0.8,1382358,"conventional",2016,"DallasFtWorth"
2016-09-18,1.31,18329.37,"organic",2016,"DallasFtWorth"
2016-09-25,0.92,1150789.41,"conventional",2016,"DallasFtWorth"
2016-09-25,1.35,19980.31,"organic",2016,"DallasFtWorth"
2016-10-02,0.95,1033290.02,"conventional",2016,"DallasFtWorth"
2016-10-02,1.42,20696.52,"organic",2016,"DallasFtWorth"
2016-10-09,0.93,1162334.53,"conventional",2016,"DallasFtWorth"
2016-10-09,1.25,28837.82,"organic",2016,"DallasFtWorth"
2016-10-16,0.99,1021028.79,"conventional",2016,"DallasFtWorth"
2016-10-16,1.27,20504.41,"organic",2016,"DallasFtWorth"
2016-10-23,1.08,993986.41,"conventional",2016,"DallasFtWorth"
2016-10-23,1.37,20091.09,"organic",2016,"DallasFtWorth"
2016-10-30,1.14,801081.72,"conventional",2016,"DallasFtWorth"
2016-10-30,1.34,17098.36,"organic",2016,"DallasFtWorth"
2016-11-06,1.14,894904.55,"conventional",2016,"DallasFtWorth"
2016-11-06,1.36,25468.3,"organic",2016,"DallasFtWorth"
2016-11-13,1.08,894000.36,"conventional",2016,"DallasFtWorth"
2016-11-13,1.32,25020.67,"organic",2016,"DallasFtWorth"
2016-11-20,1,910226.05,"conventional",2016,"DallasFtWorth"
2016-11-20,1.37,19634.24,"organic",2016,"DallasFtWorth"
2016-11-27,0.9,851579.21,"conventional",2016,"DallasFtWorth"
2016-11-27,1.34,21312.8,"organic",2016,"DallasFtWorth"
2016-12-04,0.69,1245471.58,"conventional",2016,"DallasFtWorth"
2016-12-04,1.25,21047.85,"organic",2016,"DallasFtWorth"
2016-12-11,0.69,1121306.38,"conventional",2016,"DallasFtWorth"
2016-12-11,1.14,20619.42,"organic",2016,"DallasFtWorth"
2016-12-18,0.69,1148251,"conventional",2016,"DallasFtWorth"
2016-12-18,1.11,21071.85,"organic",2016,"DallasFtWorth"
2016-12-25,0.76,1199636.75,"conventional",2016,"DallasFtWorth"
2016-12-25,1.12,20099.08,"organic",2016,"DallasFtWorth"
2017-01-01,0.68,1336539.2,"conventional",2017,"DallasFtWorth"
2017-01-01,1.06,15669.84,"organic",2017,"DallasFtWorth"
2017-01-08,0.78,1247488.6,"conventional",2017,"DallasFtWorth"
2017-01-08,1.02,24031.65,"organic",2017,"DallasFtWorth"
2017-01-15,0.7,1389716.89,"conventional",2017,"DallasFtWorth"
2017-01-15,1.04,19472.79,"organic",2017,"DallasFtWorth"
2017-01-22,0.7,1382964.89,"conventional",2017,"DallasFtWorth"
2017-01-22,1.03,29547.04,"organic",2017,"DallasFtWorth"
2017-01-29,0.73,1306293.11,"conventional",2017,"DallasFtWorth"
2017-01-29,1.16,23208.81,"organic",2017,"DallasFtWorth"
2017-02-05,0.65,1772501.55,"conventional",2017,"DallasFtWorth"
2017-02-05,1.3,17169.39,"organic",2017,"DallasFtWorth"
2017-02-12,0.7,1422345.94,"conventional",2017,"DallasFtWorth"
2017-02-12,1.35,16249.95,"organic",2017,"DallasFtWorth"
2017-02-19,0.76,1177312.94,"conventional",2017,"DallasFtWorth"
2017-02-19,1.17,20393.29,"organic",2017,"DallasFtWorth"
2017-02-26,0.73,1372811.19,"conventional",2017,"DallasFtWorth"
2017-02-26,1.05,28944.94,"organic",2017,"DallasFtWorth"
2017-03-05,0.93,1105083.35,"conventional",2017,"DallasFtWorth"
2017-03-05,1.04,26417.4,"organic",2017,"DallasFtWorth"
2017-03-12,0.9,1170640.71,"conventional",2017,"DallasFtWorth"
2017-03-12,1.11,25049.48,"organic",2017,"DallasFtWorth"
2017-03-19,0.94,1153699.28,"conventional",2017,"DallasFtWorth"
2017-03-19,1.1,26679.37,"organic",2017,"DallasFtWorth"
2017-03-26,0.91,1282796.85,"conventional",2017,"DallasFtWorth"
2017-03-26,1.14,29627.87,"organic",2017,"DallasFtWorth"
2017-04-02,0.83,1372247.8,"conventional",2017,"DallasFtWorth"
2017-04-02,1.41,23747.19,"organic",2017,"DallasFtWorth"
2017-04-09,0.9,1337046.52,"conventional",2017,"DallasFtWorth"
2017-04-09,1.24,26121.58,"organic",2017,"DallasFtWorth"
2017-04-16,0.87,1517178.55,"conventional",2017,"DallasFtWorth"
2017-04-16,1.12,33122.75,"organic",2017,"DallasFtWorth"
2017-04-23,0.85,1496361.87,"conventional",2017,"DallasFtWorth"
2017-04-23,1.34,21958.14,"organic",2017,"DallasFtWorth"
2017-04-30,0.9,1407490.7,"conventional",2017,"DallasFtWorth"
2017-04-30,1.28,27768.13,"organic",2017,"DallasFtWorth"
2017-05-07,0.89,1473846.78,"conventional",2017,"DallasFtWorth"
2017-05-07,1.35,26262.54,"organic",2017,"DallasFtWorth"
2017-05-14,0.95,1292071.56,"conventional",2017,"DallasFtWorth"
2017-05-14,1.45,28735.11,"organic",2017,"DallasFtWorth"
2017-05-21,0.91,1291606.06,"conventional",2017,"DallasFtWorth"
2017-05-21,1.46,28683.15,"organic",2017,"DallasFtWorth"
2017-05-28,0.93,1386906.1,"conventional",2017,"DallasFtWorth"
2017-05-28,1.13,42244.7,"organic",2017,"DallasFtWorth"
2017-06-04,0.93,1325912.38,"conventional",2017,"DallasFtWorth"
2017-06-04,1.08,42392.08,"organic",2017,"DallasFtWorth"
2017-06-11,0.9,1361774.87,"conventional",2017,"DallasFtWorth"
2017-06-11,1.35,28393.54,"organic",2017,"DallasFtWorth"
2017-06-18,0.9,1441940.59,"conventional",2017,"DallasFtWorth"
2017-06-18,1.44,26885.4,"organic",2017,"DallasFtWorth"
2017-06-25,0.89,1327166.18,"conventional",2017,"DallasFtWorth"
2017-06-25,1.33,24915.38,"organic",2017,"DallasFtWorth"
2017-07-02,0.9,1378563.61,"conventional",2017,"DallasFtWorth"
2017-07-02,1.02,32953.66,"organic",2017,"DallasFtWorth"
2017-07-09,0.84,1514500,"conventional",2017,"DallasFtWorth"
2017-07-09,1.06,39591.12,"organic",2017,"DallasFtWorth"
2017-07-16,0.98,1219892.61,"conventional",2017,"DallasFtWorth"
2017-07-16,1.49,24811.57,"organic",2017,"DallasFtWorth"
2017-07-23,0.99,1197803.17,"conventional",2017,"DallasFtWorth"
2017-07-23,1.57,21376.74,"organic",2017,"DallasFtWorth"
2017-07-30,1.03,1154233.85,"conventional",2017,"DallasFtWorth"
2017-07-30,1.62,20300,"organic",2017,"DallasFtWorth"
2017-08-06,0.98,1253537.5,"conventional",2017,"DallasFtWorth"
2017-08-06,1.63,21766.05,"organic",2017,"DallasFtWorth"
2017-08-13,1,1263766.23,"conventional",2017,"DallasFtWorth"
2017-08-13,1.68,18826.43,"organic",2017,"DallasFtWorth"
2017-08-20,0.99,1163466.68,"conventional",2017,"DallasFtWorth"
2017-08-20,1.8,21150.35,"organic",2017,"DallasFtWorth"
2017-08-27,1.13,1090966.44,"conventional",2017,"DallasFtWorth"
2017-08-27,1.9,20709.86,"organic",2017,"DallasFtWorth"
2017-09-03,1.23,1043009.46,"conventional",2017,"DallasFtWorth"
2017-09-03,1.81,23372.37,"organic",2017,"DallasFtWorth"
2017-09-10,1.2,997274.92,"conventional",2017,"DallasFtWorth"
2017-09-10,1.81,24831.19,"organic",2017,"DallasFtWorth"
2017-09-17,1.24,982833.04,"conventional",2017,"DallasFtWorth"
2017-09-17,1.79,20021.49,"organic",2017,"DallasFtWorth"
2017-09-24,1.29,946384.19,"conventional",2017,"DallasFtWorth"
2017-09-24,1.68,21508.67,"organic",2017,"DallasFtWorth"
2017-10-01,1.3,893387.5,"conventional",2017,"DallasFtWorth"
2017-10-01,1.7,21220.62,"organic",2017,"DallasFtWorth"
2017-10-08,1.29,919708.71,"conventional",2017,"DallasFtWorth"
2017-10-08,1.73,19807.92,"organic",2017,"DallasFtWorth"
2017-10-15,1.28,884631.4,"conventional",2017,"DallasFtWorth"
2017-10-15,1.71,21260.97,"organic",2017,"DallasFtWorth"
2017-10-22,1.1,1037930.19,"conventional",2017,"DallasFtWorth"
2017-10-22,1.69,19214.84,"organic",2017,"DallasFtWorth"
2017-10-29,1.05,1071345.81,"conventional",2017,"DallasFtWorth"
2017-10-29,1.67,20558.95,"organic",2017,"DallasFtWorth"
2017-11-05,0.96,1142499.74,"conventional",2017,"DallasFtWorth"
2017-11-05,1.64,18268.65,"organic",2017,"DallasFtWorth"
2017-11-12,0.96,1054327,"conventional",2017,"DallasFtWorth"
2017-11-12,1.7,20245.58,"organic",2017,"DallasFtWorth"
2017-11-19,0.94,958421,"conventional",2017,"DallasFtWorth"
2017-11-19,1.63,21044.41,"organic",2017,"DallasFtWorth"
2017-11-26,0.95,898548,"conventional",2017,"DallasFtWorth"
2017-11-26,1.65,15521.5,"organic",2017,"DallasFtWorth"
2017-12-03,0.85,1199422,"conventional",2017,"DallasFtWorth"
2017-12-03,1.66,18538.92,"organic",2017,"DallasFtWorth"
2017-12-10,0.75,1288280.85,"conventional",2017,"DallasFtWorth"
2017-12-10,1.53,16639.95,"organic",2017,"DallasFtWorth"
2017-12-17,0.83,1084068.05,"conventional",2017,"DallasFtWorth"
2017-12-17,1.41,20247.87,"organic",2017,"DallasFtWorth"
2017-12-24,0.99,1060456.59,"conventional",2017,"DallasFtWorth"
2017-12-24,1.44,24924.27,"organic",2017,"DallasFtWorth"
2017-12-31,0.9,1116393.2,"conventional",2017,"DallasFtWorth"
2017-12-31,1.48,21181.05,"organic",2017,"DallasFtWorth"
2018-01-07,0.92,1140210.38,"conventional",2018,"DallasFtWorth"
2018-01-07,1.45,21286.58,"organic",2018,"DallasFtWorth"
2018-01-14,0.93,1333180.68,"conventional",2018,"DallasFtWorth"
2018-01-14,1.54,25628.61,"organic",2018,"DallasFtWorth"
2018-01-21,0.85,1437239.09,"conventional",2018,"DallasFtWorth"
2018-01-21,1.5,24032.87,"organic",2018,"DallasFtWorth"
2018-01-28,0.82,1433095.36,"conventional",2018,"DallasFtWorth"
2018-01-28,1.45,26069.14,"organic",2018,"DallasFtWorth"
2018-02-04,0.67,1885401.44,"conventional",2018,"DallasFtWorth"
2018-02-04,1.37,28070.22,"organic",2018,"DallasFtWorth"
2018-02-11,0.72,1553404.16,"conventional",2018,"DallasFtWorth"
2018-02-11,1.34,28078.4,"organic",2018,"DallasFtWorth"
2018-02-18,0.77,1421970.53,"conventional",2018,"DallasFtWorth"
2018-02-18,1.36,25380.68,"organic",2018,"DallasFtWorth"
2018-02-25,0.74,1616898.5,"conventional",2018,"DallasFtWorth"
2018-02-25,1.34,23520.36,"organic",2018,"DallasFtWorth"
2018-03-04,0.77,1501141.58,"conventional",2018,"DallasFtWorth"
2018-03-04,1.38,28406.76,"organic",2018,"DallasFtWorth"
2018-03-11,0.87,1356159.96,"conventional",2018,"DallasFtWorth"
2018-03-11,1.3,34357.21,"organic",2018,"DallasFtWorth"
2018-03-18,0.87,1362250.25,"conventional",2018,"DallasFtWorth"
2018-03-18,1.32,31122.09,"organic",2018,"DallasFtWorth"
2018-03-25,0.73,1803351.21,"conventional",2018,"DallasFtWorth"
2018-03-25,1.46,31489.27,"organic",2018,"DallasFtWorth"
2015-01-04,0.71,1062990.62,"conventional",2015,"Houston"
2015-01-04,1.22,8938.32,"organic",2015,"Houston"
2015-01-11,0.78,1062071.65,"conventional",2015,"Houston"
2015-01-11,1.26,7561,"organic",2015,"Houston"
2015-01-18,0.77,1017854.16,"conventional",2015,"Houston"
2015-01-18,1.2,9979.64,"organic",2015,"Houston"
2015-01-25,0.77,983910.94,"conventional",2015,"Houston"
2015-01-25,1.24,11398.91,"organic",2015,"Houston"
2015-02-01,0.72,1280364.01,"conventional",2015,"Houston"
2015-02-01,1.15,12285.76,"organic",2015,"Houston"
2015-02-08,0.7,1180723.02,"conventional",2015,"Houston"
2015-02-08,1.25,9077.59,"organic",2015,"Houston"
2015-02-15,0.73,1062387.72,"conventional",2015,"Houston"
2015-02-15,1.29,10569.83,"organic",2015,"Houston"
2015-02-22,0.82,978807.74,"conventional",2015,"Houston"
2015-02-22,1.26,10792.32,"organic",2015,"Houston"
2015-03-01,0.87,991328.46,"conventional",2015,"Houston"
2015-03-01,1.2,11760.53,"organic",2015,"Houston"
2015-03-08,0.78,1166055.83,"conventional",2015,"Houston"
2015-03-08,1.31,9212.46,"organic",2015,"Houston"
2015-03-15,0.77,1043172.77,"conventional",2015,"Houston"
2015-03-15,1.27,12371.76,"organic",2015,"Houston"
2015-03-22,0.8,1036663.77,"conventional",2015,"Houston"
2015-03-22,1.24,11997.73,"organic",2015,"Houston"
2015-03-29,0.79,1116225.29,"conventional",2015,"Houston"
2015-03-29,1.24,9207.99,"organic",2015,"Houston"
2015-04-05,0.83,1249645.2,"conventional",2015,"Houston"
2015-04-05,1.25,11676.65,"organic",2015,"Houston"
2015-04-12,0.79,1096074.97,"conventional",2015,"Houston"
2015-04-12,1.26,12380.68,"organic",2015,"Houston"
2015-04-19,0.82,933033.17,"conventional",2015,"Houston"
2015-04-19,1.26,13856.85,"organic",2015,"Houston"
2015-04-26,0.79,1082231.89,"conventional",2015,"Houston"
2015-04-26,1.26,12066.11,"organic",2015,"Houston"
2015-05-03,0.74,1296308.05,"conventional",2015,"Houston"
2015-05-03,1.26,8532.45,"organic",2015,"Houston"
2015-05-10,0.76,1201673.17,"conventional",2015,"Houston"
2015-05-10,1.28,10725.46,"organic",2015,"Houston"
2015-05-17,0.82,1025659.59,"conventional",2015,"Houston"
2015-05-17,1.25,11026.61,"organic",2015,"Houston"
2015-05-24,0.83,1089679.39,"conventional",2015,"Houston"
2015-05-24,1.26,12358.51,"organic",2015,"Houston"
2015-05-31,0.72,1262932.78,"conventional",2015,"Houston"
2015-05-31,1.23,9890.95,"organic",2015,"Houston"
2015-06-07,0.72,1172177.72,"conventional",2015,"Houston"
2015-06-07,1.19,10773.86,"organic",2015,"Houston"
2015-06-14,0.62,1533409.28,"conventional",2015,"Houston"
2015-06-14,1.21,10464.45,"organic",2015,"Houston"
2015-06-21,0.74,1196121.27,"conventional",2015,"Houston"
2015-06-21,1.22,11429.63,"organic",2015,"Houston"
2015-06-28,0.74,1135915.03,"conventional",2015,"Houston"
2015-06-28,1.21,10531.95,"organic",2015,"Houston"
2015-07-05,0.79,1173819.67,"conventional",2015,"Houston"
2015-07-05,1.17,12717.2,"organic",2015,"Houston"
2015-07-12,0.79,999607.51,"conventional",2015,"Houston"
2015-07-12,1.17,11741.87,"organic",2015,"Houston"
2015-07-19,0.78,1093424.59,"conventional",2015,"Houston"
2015-07-19,1.21,10487.18,"organic",2015,"Houston"
2015-07-26,0.79,1086740.19,"conventional",2015,"Houston"
2015-07-26,1.19,13059.01,"organic",2015,"Houston"
2015-08-02,0.9,948126.9,"conventional",2015,"Houston"
2015-08-02,1.17,9952.84,"organic",2015,"Houston"
2015-08-09,0.92,935149.69,"conventional",2015,"Houston"
2015-08-09,1.29,14996.12,"organic",2015,"Houston"
2015-08-16,0.92,968899.09,"conventional",2015,"Houston"
2015-08-16,1.35,9699.79,"organic",2015,"Houston"
2015-08-23,0.89,933166.17,"conventional",2015,"Houston"
2015-08-23,1.26,10518.1,"organic",2015,"Houston"
2015-08-30,0.88,926124.93,"conventional",2015,"Houston"
2015-08-30,1.22,14045.27,"organic",2015,"Houston"
2015-09-06,0.89,1090493.39,"conventional",2015,"Houston"
2015-09-06,1.36,9622.66,"organic",2015,"Houston"
2015-09-13,0.89,1095790.27,"conventional",2015,"Houston"
