"","date","price","organic","conventional","avocados_sold","year","region"
"126",2015-08-02,1.17,0,1,"800603.23",2015,"BaltimoreWashington"
"127",2015-07-26,1.2,0,1,"772926.12",2015,"BaltimoreWashington"
"128",2015-07-19,1.18,0,1,"800194.34",2015,"BaltimoreWashington"
"129",2015-07-12,1.1,0,1,"850931.58",2015,"BaltimoreWashington"
"130",2015-07-05,1.16,0,1,"896298.77",2015,"BaltimoreWashington"
"131",2015-06-28,1.15,0,1,"862261.64",2015,"BaltimoreWashington"
"132",2015-06-21,1.16,0,1,"862840.73",2015,"BaltimoreWashington"
"133",2015-06-14,1.09,0,1,"955046.82",2015,"BaltimoreWashington"
"134",2015-06-07,1.26,0,1,"794310.29",2015,"BaltimoreWashington"
"135",2015-05-31,1.19,0,1,"949177.06",2015,"BaltimoreWashington"
"136",2015-05-24,1.18,0,1,"908661.83",2015,"BaltimoreWashington"
"137",2015-05-17,1.27,0,1,"790853.86",2015,"BaltimoreWashington"
"138",2015-05-10,1.26,0,1,"855205.82",2015,"BaltimoreWashington"
"139",2015-05-03,1.17,0,1,"896972.05",2015,"BaltimoreWashington"
"140",2015-04-26,1.29,0,1,"747841.09",2015,"BaltimoreWashington"
"141",2015-04-19,1.28,0,1,"762862.62",2015,"BaltimoreWashington"
"142",2015-04-12,1.15,0,1,"837629.62",2015,"BaltimoreWashington"
"143",2015-04-05,1.29,0,1,"688065.45",2015,"BaltimoreWashington"
"144",2015-03-29,1.25,0,1,"663677.32",2015,"BaltimoreWashington"
"145",2015-03-22,1.1,0,1,"808897.21",2015,"BaltimoreWashington"
"146",2015-03-15,1.24,0,1,"693698.13",2015,"BaltimoreWashington"
"147",2015-03-08,1.26,0,1,"657745.9",2015,"BaltimoreWashington"
"148",2015-03-01,1.16,0,1,"770115.24",2015,"BaltimoreWashington"
"149",2015-02-22,1.11,0,1,"749845.79",2015,"BaltimoreWashington"
"150",2015-02-15,1.25,0,1,"637319.34",2015,"BaltimoreWashington"
"151",2015-02-08,1.09,0,1,"844931.21",2015,"BaltimoreWashington"
"152",2015-02-01,1.06,0,1,"1007418.76",2015,"BaltimoreWashington"
"153",2015-01-25,1.2,0,1,"692934.46",2015,"BaltimoreWashington"
"154",2015-01-18,1.23,0,1,"657741.34",2015,"BaltimoreWashington"
"155",2015-01-11,1.17,0,1,"670231.94",2015,"BaltimoreWashington"
"156",2015-01-04,1.08,0,1,"788025.06",2015,"BaltimoreWashington"
"157",2015-12-27,0.97,0,1,"62909.69",2015,"Boise"
"158",2015-12-20,1.03,0,1,"57504.05",2015,"Boise"
"159",2015-12-13,0.99,0,1,"58461.05",2015,"Boise"
"160",2015-12-06,0.71,0,1,"95295.34",2015,"Boise"
"161",2015-11-29,1.06,0,1,"49069.13",2015,"Boise"
"162",2015-11-22,1.09,0,1,"52875.58",2015,"Boise"
"163",2015-11-15,1.01,0,1,"68648.22",2015,"Boise"
"164",2015-11-08,1.11,0,1,"55847.79",2015,"Boise"
"165",2015-11-01,1.14,0,1,"53585.51",2015,"Boise"
"166",2015-10-25,1.11,0,1,"59874.45",2015,"Boise"
"167",2015-10-18,1.16,0,1,"54191.14",2015,"Boise"
"168",2015-10-11,0.94,0,1,"80904.19",2015,"Boise"
"169",2015-10-04,1.12,0,1,"59496.33",2015,"Boise"
"170",2015-09-27,0.99,0,1,"64187.8",2015,"Boise"
"171",2015-09-20,1.03,0,1,"73952.9",2015,"Boise"
"172",2015-09-13,1.08,0,1,"64208.84",2015,"Boise"
"173",2015-09-06,1.16,0,1,"64464.61",2015,"Boise"
"174",2015-08-30,1.19,0,1,"60099.83",2015,"Boise"
"175",2015-08-23,1.05,0,1,"70773.76",2015,"Boise"
"176",2015-08-16,1.12,0,1,"64001.61",2015,"Boise"
"177",2015-08-09,1.1,0,1,"61286.98",2015,"Boise"
"178",2015-08-02,1.07,0,1,"67763.91",2015,"Boise"
"179",2015-07-26,1.07,0,1,"67826.07",2015,"Boise"
"180",2015-07-19,1.09,0,1,"63958.04",2015,"Boise"
"181",2015-07-12,1.05,0,1,"74677.72",2015,"Boise"
"182",2015-07-05,1.15,0,1,"85044.45",2015,"Boise"
"183",2015-06-28,1.04,0,1,"75280.41",2015,"Boise"
"184",2015-06-21,1.06,0,1,"81397.07",2015,"Boise"
"185",2015-06-14,0.99,0,1,"87607.71",2015,"Boise"
"186",2015-06-07,1.12,0,1,"80751.29",2015,"Boise"
"187",2015-05-31,0.97,0,1,"76689.38",2015,"Boise"
"188",2015-05-24,1.03,0,1,"83209.77",2015,"Boise"
"189",2015-05-17,0.96,0,1,"77987.53",2015,"Boise"
"190",2015-05-10,1.06,0,1,"95788.53",2015,"Boise"
"191",2015-05-03,1,0,1,"85466.99",2015,"Boise"
"192",NA,NA,NA,NA,NA,NA,NA
"193",2015-04-19,0.99,0,1,"89694.96",2015,"Boise"
"194",2015-04-12,1.19,0,1,"66246.3",2015,"Boise"
"195",2015-04-05,1.09,0,1,"76704.46",2015,"Boise"
"196",2015-03-29,0.98,0,1,"74543.98",2015,"Boise"
"197",2015-03-22,1.17,0,1,"61419.11",2015,"Boise"
"198",2015-03-15,1,0,1,"65918.28",2015,"Boise"
"199",2015-03-08,1.14,0,1,"65350.24",2015,"Boise"
"200",2015-03-01,1.06,0,1,"75046.37",2015,"Boise"
"201",2015-02-22,0.99,0,1,"76836.1",2015,"Boise"
"202",2015-02-15,1.14,0,1,"61221.98",2015,"Boise"
"203",2015-02-08,1.07,0,1,"69970.75",2015,"Boise"
"204",2015-02-01,0.91,0,1,"113578.24",2015,"Boise"
"205",2015-01-25,1.03,0,1,"66069.21",2015,"Boise"
"206",2015-01-18,1.08,0,1,"62870.49",2015,"Boise"
"207",2015-01-11,1.18,0,1,"57355.52",2015,"Boise"
"208",2015-01-04,1.01,0,1,"80034.32",2015,"Boise"
"209",2015-12-27,1.13,0,1,"450816.39",2015,"Boston"
"210",2015-12-20,1.07,0,1,"489802.88",2015,"Boston"
"211",2015-12-13,1.01,0,1,"549945.76",2015,"Boston"
"212",2015-12-06,1.02,0,1,"488679.31",2015,"Boston"
"213",2015-11-29,1.19,0,1,"350559.81",2015,"Boston"
"214",2015-11-22,1.07,0,1,"466759.99",2015,"Boston"
"215",2015-11-15,1.05,0,1,"513738.98",2015,"Boston"
"216",2015-11-08,1.04,0,1,"641759.57",2015,"Boston"
"217",2015-11-01,1.06,0,1,"553096.84",2015,"Boston"
"218",2015-10-25,1.02,0,1,"534249.47",2015,"Boston"
"219",2015-10-18,0.94,0,1,"725296.29",2015,"Boston"
"220",2015-10-11,1.14,0,1,"485706.68",2015,"Boston"
"221",2015-10-04,1.07,0,1,"536479.42",2015,"Boston"
"222",2015-09-27,1.07,0,1,"553307.04",2015,"Boston"
"223",2015-09-20,1.15,0,1,"498640.23",2015,"Boston"
"224",2015-09-13,1.03,0,1,"655682.95",2015,"Boston"
"225",2015-09-06,1.11,0,1,"577774.74",2015,"Boston"
"226",2015-08-30,1.13,0,1,"526664.87",2015,"Boston"
"227",2015-08-23,1.07,0,1,"589471.32",2015,"Boston"
"228",2015-08-16,1.15,0,1,"565795.06",2015,"Boston"
"229",2015-08-09,1.07,0,1,"690517.19",2015,"Boston"
"230",2015-08-02,1.17,0,1,"571994.5",2015,"Boston"
"231",2015-07-26,1.28,0,1,"500233.69",2015,"Boston"
"232",2015-07-19,1.18,0,1,"597168.12",2015,"Boston"
"233",2015-07-12,1.14,0,1,"634515.74",2015,"Boston"
"234",2015-07-05,1.27,0,1,"582909.73",2015,"Boston"
"235",2015-06-28,1.25,0,1,"560494.92",2015,"Boston"
"236",2015-06-21,1.24,0,1,"543504.66",2015,"Boston"
"237",2015-06-14,1.08,0,1,"684346.48",2015,"Boston"
"238",2015-06-07,1.25,0,1,"562542.86",2015,"Boston"
"239",2015-05-31,1.26,0,1,"565160.95",2015,"Boston"
"240",2015-05-24,1.14,0,1,"633521.98",2015,"Boston"
"241",2015-05-17,1.26,0,1,"534488.54",2015,"Boston"
"242",2015-05-10,1.14,0,1,"625558.14",2015,"Boston"
"243",2015-05-03,1.17,0,1,"552368.94",2015,"Boston"
"244",2015-04-26,1.28,0,1,"465911.37",2015,"Boston"
"245",2015-04-19,1.15,0,1,"504619.83",2015,"Boston"
"246",2015-04-12,1.26,0,1,"408485.16",2015,"Boston"
"247",2015-04-05,1.27,0,1,"449818.01",2015,"Boston"
"248",2015-03-29,1.19,0,1,"453631.25",2015,"Boston"
"249",2015-03-22,1.18,0,1,"453173.22",2015,"Boston"
"250",2015-03-15,1.25,0,1,"417750.36",2015,"Boston"
"251",2015-03-08,1.17,0,1,"408403.96",2015,"Boston"
"252",2015-03-01,1.11,0,1,"485736.1",2015,"Boston"
"253",2015-02-22,1.23,0,1,"355432.28",2015,"Boston"
"254",2015-02-15,1.2,0,1,"399883.99",2015,"Boston"
"255",2015-02-08,1.04,0,1,"609985.34",2015,"Boston"
"256",2015-02-01,1.22,0,1,"490022.14",2015,"Boston"
"257",2015-01-25,1.17,0,1,"409343.56",2015,"Boston"
"258",2015-01-18,1.23,0,1,"401331.33",2015,"Boston"
"259",2015-01-11,1.1,0,1,"437771.89",2015,"Boston"
"260",2015-01-04,1.02,0,1,"491738",2015,"Boston"
"261",2015-12-27,1.35,0,1,"96233.08",2015,"BuffaloRochester"
"262",2015-12-20,1.37,0,1,"90867.51",2015,"BuffaloRochester"
"263",2015-12-13,1.35,0,1,"98473.23",2015,"BuffaloRochester"
"264",2015-12-06,1.23,0,1,"108457.82",2015,"BuffaloRochester"
"265",2015-11-29,1.39,0,1,"79973.14",2015,"BuffaloRochester"
"266",2015-11-22,1.4,0,1,"90242.31",2015,"BuffaloRochester"
"267",2015-11-15,1.36,0,1,"99703.72",2015,"BuffaloRochester"
"268",2015-11-08,1.3,0,1,"111038.95",2015,"BuffaloRochester"
"269",2015-11-01,1.23,0,1,"118541.11",2015,"BuffaloRochester"
"270",2015-10-25,1.36,0,1,"99554.55",2015,"BuffaloRochester"
"271",2015-10-18,1.29,0,1,"106083.75",2015,"BuffaloRochester"
"272",2015-10-11,1.3,0,1,"109153.84",2015,"BuffaloRochester"
"273",2015-10-04,1.33,0,1,"98900.48",2015,"BuffaloRochester"
"274",2015-09-27,1.31,0,1,"90745.72",2015,"BuffaloRochester"
"275",2015-09-20,1.54,0,1,"60624.47",2015,"BuffaloRochester"
"276",2015-09-13,1.59,0,1,"73043.2",2015,"BuffaloRochester"
"277",2015-09-06,1.56,0,1,"76139.58",2015,"BuffaloRochester"
"278",2015-08-30,1.38,0,1,"83731.42",2015,"BuffaloRochester"
"279",2015-08-23,1.49,0,1,"68953.29",2015,"BuffaloRochester"
"280",2015-08-16,1.5,0,1,"69798.09",2015,"BuffaloRochester"
"281",2015-08-09,1.47,0,1,"81830.13",2015,"BuffaloRochester"
"282",2015-08-02,1.47,0,1,"78162.92",2015,"BuffaloRochester"
"283",2015-07-26,1.39,0,1,"91825.07",2015,"BuffaloRochester"
"284",2015-07-19,1.36,0,1,"128846.15",2015,"BuffaloRochester"
"285",2015-07-12,1.45,0,1,"127351.46",2015,"BuffaloRochester"
"286",2015-07-05,1.47,0,1,"140413.9",2015,"BuffaloRochester"
"287",2015-06-28,1.36,0,1,"137246.7",2015,"BuffaloRochester"
"288",2015-06-21,1.5,0,1,"108655.36",2015,"BuffaloRochester"
"289",2015-06-14,1.34,0,1,"149376.79",2015,"BuffaloRochester"
"290",2015-06-07,1.38,0,1,"130908.11",2015,"BuffaloRochester"
"291",2015-05-31,1.4,0,1,"130841.08",2015,"BuffaloRochester"
"292",2015-05-24,1.43,0,1,"121942.61",2015,"BuffaloRochester"
"293",2015-05-17,1.35,0,1,"137050.23",2015,"BuffaloRochester"
"294",2015-05-10,1.33,0,1,"170547.18",2015,"BuffaloRochester"
"295",2015-05-03,1.42,0,1,"136771.79",2015,"BuffaloRochester"
"296",2015-04-26,1.41,0,1,"136964.3",2015,"BuffaloRochester"
"297",2015-04-19,1.42,0,1,"139612.52",2015,"BuffaloRochester"
"298",2015-04-12,1.42,0,1,"118172.53",2015,"BuffaloRochester"
"299",2015-04-05,1.44,0,1,"124145.62",2015,"BuffaloRochester"
"300",2015-03-29,1.39,0,1,"119890.65",2015,"BuffaloRochester"
"301",2015-03-22,1.4,0,1,"119902.96",2015,"BuffaloRochester"
"302",2015-03-15,1.47,0,1,"103413.11",2015,"BuffaloRochester"
"303",2015-03-08,1.35,0,1,"125724.96",2015,"BuffaloRochester"
"304",2015-03-01,NA,0,1,"112363.86",2015,"BuffaloRochester"
"305",2015-02-22,1.41,0,1,"109546.92",2015,"BuffaloRochester"
"306",2015-02-15,1.44,0,1,"100207.14",2015,"BuffaloRochester"
"307",2015-02-08,1.36,0,1,"132760.1",2015,"BuffaloRochester"
"308",2015-02-01,1.33,0,1,"153920.35",2015,"BuffaloRochester"
"309",2015-01-25,1.5,0,1,"114052.94",2015,"BuffaloRochester"
"310",2015-01-18,1.52,0,1,"107040.29",2015,"BuffaloRochester"
"311",2015-01-11,1.54,0,1,"106221.32",2015,"BuffaloRochester"
"312",2015-01-04,1.4,0,1,"116253.44",2015,"BuffaloRochester"
"313",2015-12-27,0.9,0,1,"5040365.47",2015,"California"
"314",2015-12-20,0.94,0,1,"4695737.21",2015,"California"
"315",2015-12-13,0.87,0,1,"5259354.3",2015,"California"
"316",2015-12-06,0.78,0,1,"5775536.27",2015,"California"
"317",2015-11-29,0.91,0,1,"4575710.62",2015,"California"
"318",2015-11-22,0.92,0,1,"4804278.16",2015,"California"
"319",2015-11-15,0.83,0,1,"5755190.69",2015,"California"
"320",2015-11-08,0.98,0,1,"5148983.51",2015,"California"
"321",2015-11-01,0.95,0,1,"5830427.96",2015,"California"
"322",2015-10-25,1.12,0,1,"4592461.81",2015,"California"
"323",2015-10-18,1.07,0,1,"4999031.79",2015,"California"
"324",2015-10-11,1.08,0,1,"5063309.38",2015,"California"
"325",2015-10-04,1.02,0,1,"4943781.29",2015,"California"
"326",2015-09-27,1.04,0,1,"5216784.63",2015,"California"
"327",2015-09-20,1.14,0,1,"4759791.13",2015,"California"
"328",2015-09-13,1.13,0,1,"5106508.12",2015,"California"
"329",2015-09-06,1.09,0,1,"5806392.78",2015,"California"
"330",2015-08-30,1.08,0,1,"5647385.15",2015,"California"
"331",2015-08-23,1.18,0,1,"5193221",2015,"California"
"332",2015-08-16,1.11,0,1,"5616434.08",2015,"California"
"333",2015-08-09,1.1,0,1,"6232081.27",2015,"California"
"334",2015-08-02,1.16,0,1,"5428238.87",2015,"California"
"335",2015-07-26,1.13,0,1,"5557616.27",2015,"California"
"336",2015-07-19,1.18,0,1,"5225200.52",2015,"California"
"337",2015-07-12,1.13,0,1,"5451636.92",2015,"California"
"338",2015-07-05,1.12,0,1,"6718011.83",2015,"California"
"339",2015-06-28,1.1,0,1,"5641742.02",2015,"California"
"340",2015-06-21,1.07,0,1,"5952597.29",2015,"California"
"341",2015-06-14,0.97,0,1,"6741662.31",2015,"California"
"342",2015-06-07,0.98,0,1,"6374842.9",2015,"California"
"343",2015-05-31,0.98,0,1,"6236903.31",2015,"California"
"344",2015-05-24,1.1,0,1,"5621713.64",2015,"California"
"345",2015-05-17,1.08,0,1,"5289138.5",2015,"California"
"346",2015-05-10,0.93,0,1,"6650357.96",2015,"California"
"347",2015-05-03,0.88,0,1,"8567534.49",2015,"California"
"348",2015-04-26,1.15,0,1,"4923565.04",2015,"California"
"349",2015-04-19,1.05,0,1,"5871080.81",2015,"California"
"350",2015-04-12,1.06,0,1,"5636644.51",2015,"California"
"351",2015-04-05,1.12,0,1,"5467155.55",2015,"California"
"352",2015-03-29,1.1,0,1,"5341821.67",2015,"California"
"353",2015-03-22,1.06,0,1,"5571812.77",2015,"California"
"354",2015-03-15,1.06,0,1,"5557163.11",2015,"California"
"355",2015-03-08,0.96,0,1,"5990243.89",2015,"California"
"356",2015-03-01,0.84,0,1,"6700134.25",2015,"California"
"357",2015-02-22,0.96,0,1,"5951871.32",2015,"California"
"358",2015-02-15,0.96,0,1,"5699944.93",2015,"California"
"359",2015-02-08,0.91,0,1,"5871224.58",2015,"California"
"360",2015-02-01,0.85,0,1,"9032180.67",2015,"California"
"361",2015-01-25,1.06,0,1,"4929884.26",2015,"California"
"362",2015-01-18,1.02,0,1,"5570915.26",2015,"California"
"363",2015-01-11,0.92,0,1,"6024932.34",2015,"California"
"364",2015-01-04,0.93,0,1,"5777334.9",2015,"California"
"365",2015-12-27,0.96,0,1,"156698.24",2015,"Charlotte"
"366",2015-12-20,0.98,0,1,"139917.89",2015,"Charlotte"
"367",2015-12-13,0.95,0,1,"157146.19",2015,"Charlotte"
"368",2015-12-06,0.99,0,1,"156114.08",2015,"Charlotte"
"369",2015-11-29,0.95,0,1,"138858.86",2015,"Charlotte"
"370",2015-11-22,1,0,1,"133618.33",2015,"Charlotte"
"371",2015-11-15,1.01,0,1,"169281.16",2015,"Charlotte"
"372",2015-11-08,1.03,0,1,"164322.04",2015,"Charlotte"
"373",2015-11-01,1.11,0,1,"171793.87",2015,"Charlotte"
"374",2015-10-25,1.27,0,1,"140920.61",2015,"Charlotte"
"375",2015-10-18,1.26,0,1,"156565.98",2015,"Charlotte"
"376",2015-10-11,1.14,0,1,"167396.56",2015,"Charlotte"
"377",2015-10-04,1.22,0,1,"146737.74",2015,"Charlotte"
"378",2015-09-27,1.09,0,1,"168780.22",2015,"Charlotte"
"379",2015-09-20,1.2,0,1,"161443.98",2015,"Charlotte"
"380",2015-09-13,1.19,0,1,"171077.53",2015,"Charlotte"
"381",2015-09-06,1.01,0,1,"227728.43",2015,"Charlotte"
"382",2015-08-30,1.2,0,1,"179026.88",2015,"Charlotte"
"383",2015-08-23,1.15,0,1,"203298.37",2015,"Charlotte"
"384",2015-08-16,1.24,0,1,"178525.52",2015,"Charlotte"
"385",2015-08-09,1.21,0,1,"173059.32",2015,"Charlotte"
"386",2015-08-02,1.24,0,1,"179321.9",2015,"Charlotte"
"387",2015-07-26,1.23,0,1,"173896.82",2015,"Charlotte"
"388",2015-07-19,1.19,0,1,"",2015,"Charlotte"
"389",2015-07-12,1.18,0,1,"182856.82",2015,"Charlotte"
"390",2015-07-05,1.18,0,1,"216118.9",2015,"Charlotte"
"391",2015-06-28,1.17,0,1,"193654.01",2015,"Charlotte"
"392",2015-06-21,1.17,0,1,"201173.1",2015,"Charlotte"
"393",2015-06-14,1.15,0,1,"207093.88",2015,"Charlotte"
"394",2015-06-07,1.15,0,1,"199980.3",2015,"Charlotte"
"395",2015-05-31,1.19,0,1,"194630.86",2015,"Charlotte"
"396",2015-05-24,1.2,0,1,"212527.72",2015,"Charlotte"
"397",2015-05-17,1.21,0,1,"190799.99",2015,"Charlotte"
"398",2015-05-10,1.19,0,1,"192767.09",2015,"Charlotte"
"399",2015-05-03,1,0,1,"261492.2",2015,"Charlotte"
"400",2015-04-26,1.2,0,1,"182141.55",2015,"Charlotte"
"401",2015-04-19,1.18,0,1,"180944.22",2015,"Charlotte"
"402",2015-04-12,1.17,0,1,"204005.24",2015,"Charlotte"
